                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9933,                0.60197,                 0.9742,                  2.267,              0.0033292,              0.0033292,              0.0033292
                      2,                0.86601,                0.54423,                0.85135,                 2.1578,              0.0066406,              0.0066406,              0.0066406
                      3,                0.42484,                0.98034,                0.99877,                  1.724,              0.0099299,              0.0099299,              0.0099299
                      4,                0.32641,                0.97912,                0.99877,                 1.7194,               0.009901,               0.009901,               0.009901
                      5,                0.23977,                0.96069,                      1,                 1.7329,               0.009868,               0.009868,               0.009868
                      6,                0.20642,                0.94103,                0.99877,                 1.7648,               0.009835,               0.009835,               0.009835
                      7,                0.17745,                 0.9828,                0.99754,                 1.7139,               0.009802,               0.009802,               0.009802
                      8,                0.16375,                0.98526,                0.99877,                 1.7104,               0.009769,               0.009769,               0.009769
                      9,                0.15031,                 0.9914,                      1,                  1.701,               0.009736,               0.009736,               0.009736
                     10,                0.14108,                0.99263,                0.99877,                 1.7004,               0.009703,               0.009703,               0.009703
                     11,                0.12619,                0.99386,                      1,                 1.6976,                0.00967,                0.00967,                0.00967
                     12,                 0.1201,                0.99386,                0.99754,                 1.6985,               0.009637,               0.009637,               0.009637
                     13,                0.11084,                0.99509,                      1,                  1.696,               0.009604,               0.009604,               0.009604
                     14,                0.12337,                 0.9914,                      1,                 1.7016,               0.009571,               0.009571,               0.009571
                     15,                0.11734,                0.99386,                      1,                 1.6966,               0.009538,               0.009538,               0.009538
                     16,                 0.1194,                0.99263,                      1,                 1.6985,               0.009505,               0.009505,               0.009505
                     17,                0.10541,                0.99386,                      1,                 1.6972,               0.009472,               0.009472,               0.009472
                     18,                0.09594,                0.99263,                      1,                 1.6979,               0.009439,               0.009439,               0.009439
                     19,                0.10942,                0.99386,                0.99877,                 1.6955,               0.009406,               0.009406,               0.009406
                     20,                 0.1156,                0.99509,                      1,                  1.697,               0.009373,               0.009373,               0.009373
                     21,                0.10363,                0.99386,                      1,                 1.6963,                0.00934,                0.00934,                0.00934
                     22,                 0.0893,                0.99386,                0.99877,                  1.696,               0.009307,               0.009307,               0.009307
                     23,                 0.0995,                 0.9914,                      1,                 1.7011,               0.009274,               0.009274,               0.009274
                     24,                0.09775,                0.99386,                      1,                 1.6959,               0.009241,               0.009241,               0.009241
                     25,                0.08838,                0.99263,                      1,                 1.6965,               0.009208,               0.009208,               0.009208
                     26,                0.09719,                0.99509,                      1,                 1.6956,               0.009175,               0.009175,               0.009175
                     27,                0.08763,                0.99509,                0.99877,                 1.6955,               0.009142,               0.009142,               0.009142
                     28,                0.09661,                0.99263,                0.99877,                 1.6962,               0.009109,               0.009109,               0.009109
                     29,                0.08413,                0.99509,                0.99877,                 1.6952,               0.009076,               0.009076,               0.009076
                     30,                 0.0833,                0.99509,                0.99877,                 1.6956,               0.009043,               0.009043,               0.009043
                     31,                0.09773,                0.99509,                      1,                 1.6947,                0.00901,                0.00901,                0.00901
                     32,                0.08451,                0.99509,                0.99877,                 1.6953,               0.008977,               0.008977,               0.008977
                     33,                0.07572,                0.99509,                      1,                 1.6954,               0.008944,               0.008944,               0.008944
                     34,                0.08276,                0.99386,                      1,                 1.6983,               0.008911,               0.008911,               0.008911
                     35,                0.08112,                0.99509,                      1,                 1.6949,               0.008878,               0.008878,               0.008878
                     36,                0.08386,                0.99509,                      1,                 1.6959,               0.008845,               0.008845,               0.008845
                     37,                0.08311,                0.99386,                      1,                 1.6949,               0.008812,               0.008812,               0.008812
                     38,                0.08816,                0.99386,                      1,                 1.6956,               0.008779,               0.008779,               0.008779
                     39,                0.07331,                0.99386,                      1,                 1.6947,               0.008746,               0.008746,               0.008746
                     40,                0.07331,                0.99386,                      1,                 1.6957,               0.008713,               0.008713,               0.008713
                     41,                0.07729,                0.99386,                      1,                 1.6953,                0.00868,                0.00868,                0.00868
                     42,                0.07808,                0.99386,                      1,                 1.6953,               0.008647,               0.008647,               0.008647
                     43,                0.08611,                0.99509,                0.99877,                 1.6947,               0.008614,               0.008614,               0.008614
                     44,                0.07277,                0.99631,                      1,                 1.6943,               0.008581,               0.008581,               0.008581
                     45,                0.07112,                0.99509,                      1,                 1.6945,               0.008548,               0.008548,               0.008548
                     46,                0.07849,                0.99509,                      1,                 1.6949,               0.008515,               0.008515,               0.008515
                     47,                0.06929,                0.99509,                0.99877,                 1.6947,               0.008482,               0.008482,               0.008482
                     48,                0.07721,                0.99631,                0.99877,                 1.6936,               0.008449,               0.008449,               0.008449
                     49,                0.07266,                0.99631,                      1,                 1.6934,               0.008416,               0.008416,               0.008416
                     50,                0.07778,                0.99631,                0.99877,                 1.6937,               0.008383,               0.008383,               0.008383
                     51,                0.07828,                0.99631,                0.99877,                 1.6934,                0.00835,                0.00835,                0.00835
                     52,                0.07409,                0.99631,                      1,                 1.6936,               0.008317,               0.008317,               0.008317
                     53,                0.07988,                0.99631,                0.99877,                 1.6935,               0.008284,               0.008284,               0.008284
                     54,                0.07616,                0.99631,                0.99877,                 1.6936,               0.008251,               0.008251,               0.008251
                     55,                 0.0633,                0.99631,                      1,                 1.6937,               0.008218,               0.008218,               0.008218
                     56,                0.06873,                0.99631,                      1,                  1.694,               0.008185,               0.008185,               0.008185
                     57,                0.07149,                0.99631,                0.99877,                  1.694,               0.008152,               0.008152,               0.008152
                     58,                0.07034,                0.99631,                0.99877,                 1.6939,               0.008119,               0.008119,               0.008119
                     59,                0.07284,                0.99631,                0.99877,                  1.694,               0.008086,               0.008086,               0.008086
                     60,                0.07152,                0.99509,                0.99877,                 1.6941,               0.008053,               0.008053,               0.008053
                     61,                0.06307,                0.99631,                0.99877,                 1.6941,                0.00802,                0.00802,                0.00802
                     62,                0.06951,                0.99631,                0.99877,                 1.6938,               0.007987,               0.007987,               0.007987
                     63,                0.06998,                0.99631,                0.99877,                 1.6937,               0.007954,               0.007954,               0.007954
                     64,                0.06531,                0.99631,                0.99877,                 1.6937,               0.007921,               0.007921,               0.007921
                     65,                 0.0686,                0.99631,                0.99877,                 1.6939,               0.007888,               0.007888,               0.007888
                     66,                0.07687,                0.99631,                0.99877,                 1.6938,               0.007855,               0.007855,               0.007855
                     67,                0.06219,                0.99631,                      1,                 1.6938,               0.007822,               0.007822,               0.007822
                     68,                0.06101,                0.99509,                      1,                  1.694,               0.007789,               0.007789,               0.007789
                     69,                0.06412,                0.99509,                      1,                  1.694,               0.007756,               0.007756,               0.007756
                     70,                0.07433,                0.99509,                      1,                 1.6941,               0.007723,               0.007723,               0.007723
                     71,                 0.0647,                0.99509,                      1,                 1.6942,                0.00769,                0.00769,                0.00769
                     72,                0.06702,                0.99509,                      1,                 1.6943,               0.007657,               0.007657,               0.007657
                     73,                0.06876,                0.99509,                      1,                 1.6943,               0.007624,               0.007624,               0.007624
                     74,                0.06483,                0.99509,                      1,                 1.6943,               0.007591,               0.007591,               0.007591
                     75,                0.06135,                0.99509,                      1,                 1.6943,               0.007558,               0.007558,               0.007558
                     76,                0.07661,                0.99509,                      1,                 1.6944,               0.007525,               0.007525,               0.007525
                     77,                0.06505,                0.99509,                      1,                 1.6944,               0.007492,               0.007492,               0.007492
                     78,                0.06322,                0.99509,                      1,                 1.6945,               0.007459,               0.007459,               0.007459
                     79,                 0.0651,                0.99509,                0.99877,                 1.6945,               0.007426,               0.007426,               0.007426
                     80,                0.07168,                0.99509,                0.99877,                 1.6945,               0.007393,               0.007393,               0.007393
                     81,                0.06542,                0.99509,                0.99877,                 1.6945,                0.00736,                0.00736,                0.00736
                     82,                0.06543,                0.99509,                0.99877,                 1.6944,               0.007327,               0.007327,               0.007327
                     83,                0.06724,                0.99509,                0.99877,                 1.6944,               0.007294,               0.007294,               0.007294
                     84,                0.07284,                0.99509,                0.99877,                 1.6944,               0.007261,               0.007261,               0.007261
                     85,                0.06697,                0.99509,                0.99877,                 1.6945,               0.007228,               0.007228,               0.007228
                     86,                0.07051,                0.99509,                0.99877,                 1.6946,               0.007195,               0.007195,               0.007195
                     87,                0.05876,                0.99509,                0.99877,                 1.6945,               0.007162,               0.007162,               0.007162
                     88,                0.06001,                0.99509,                0.99877,                 1.6946,               0.007129,               0.007129,               0.007129
                     89,                0.06996,                0.99509,                0.99877,                 1.6946,               0.007096,               0.007096,               0.007096
                     90,                0.06391,                0.99509,                0.99877,                 1.6946,               0.007063,               0.007063,               0.007063
                     91,                0.05431,                0.99509,                0.99877,                 1.6946,                0.00703,                0.00703,                0.00703
                     92,                0.06557,                0.99509,                0.99877,                 1.6945,               0.006997,               0.006997,               0.006997
                     93,                0.05972,                0.99509,                0.99877,                 1.6944,               0.006964,               0.006964,               0.006964
                     94,                 0.0609,                0.99509,                0.99877,                 1.6944,               0.006931,               0.006931,               0.006931
                     95,                0.07422,                0.99509,                0.99877,                 1.6944,               0.006898,               0.006898,               0.006898
                     96,                0.06021,                0.99509,                0.99877,                 1.6944,               0.006865,               0.006865,               0.006865
                     97,                0.05935,                0.99509,                0.99877,                 1.6944,               0.006832,               0.006832,               0.006832
                     98,                 0.0558,                0.99509,                0.99877,                 1.6943,               0.006799,               0.006799,               0.006799
                     99,                0.05186,                0.99509,                0.99877,                 1.6943,               0.006766,               0.006766,               0.006766
                    100,                 0.0652,                0.99509,                0.99877,                 1.6944,               0.006733,               0.006733,               0.006733
                    101,                0.06092,                0.99509,                0.99877,                 1.6944,                 0.0067,                 0.0067,                 0.0067
                    102,                0.05804,                0.99509,                0.99877,                 1.6943,               0.006667,               0.006667,               0.006667
                    103,                0.06134,                0.99509,                0.99877,                 1.6943,               0.006634,               0.006634,               0.006634
                    104,                 0.0645,                0.99509,                0.99877,                 1.6943,               0.006601,               0.006601,               0.006601
                    105,                0.05458,                0.99509,                0.99877,                 1.6943,               0.006568,               0.006568,               0.006568
                    106,                0.04928,                0.99509,                0.99877,                 1.6943,               0.006535,               0.006535,               0.006535
                    107,                 0.0581,                0.99509,                0.99877,                 1.6944,               0.006502,               0.006502,               0.006502
                    108,                0.05694,                0.99509,                0.99877,                 1.6944,               0.006469,               0.006469,               0.006469
                    109,                0.05997,                0.99509,                0.99877,                 1.6944,               0.006436,               0.006436,               0.006436
                    110,                0.05734,                0.99509,                0.99877,                 1.6944,               0.006403,               0.006403,               0.006403
                    111,                0.05798,                0.99509,                0.99877,                 1.6944,                0.00637,                0.00637,                0.00637
                    112,                0.05523,                0.99509,                0.99877,                 1.6944,               0.006337,               0.006337,               0.006337
                    113,                0.04836,                0.99509,                0.99877,                 1.6944,               0.006304,               0.006304,               0.006304
                    114,                0.06168,                0.99509,                0.99877,                 1.6945,               0.006271,               0.006271,               0.006271
                    115,                0.04931,                0.99509,                0.99877,                 1.6944,               0.006238,               0.006238,               0.006238
                    116,                0.04773,                0.99509,                0.99877,                 1.6945,               0.006205,               0.006205,               0.006205
                    117,                0.04684,                0.99509,                0.99877,                 1.6945,               0.006172,               0.006172,               0.006172
